hhidpn,F_4_leisure_07,F_4_leisure_09,F_4_leisure_11,F_4_leisure_13,F_4_leisure_15,F_4_leisure_17,F_4_leisure_19,F_3_leisure_07,F_3_leisure_09,F_3_leisure_11,F_3_leisure_13,F_3_leisure_15,F_3_leisure_17,F_3_leisure_19,F_3_leisuremp_07,F_3_leisuremp_09,F_3_leisuremp_11,F_3_leisuremp_13,F_3_leisuremp_15,F_3_leisuremp_17,F_3_leisuremp_19,agegroup
500660020,16,12,,,,9,16,8,8,,,,5,8,8,8,,,,5,8,0
500661010,,,16,14,,10,,,,8,6,,6,,,,8,6,,2,,0
500667020,2,2,10,10,10,10,14,2,2,6,6,6,6,6,2,2,2,2,2,6,6,0
500675020,6,14,16,10,6,4,12,2,6,8,6,2,4,8,2,6,8,6,2,4,4,0
500684010,16,16,6,6,4,6,6,8,8,2,2,4,2,2,8,8,2,2,4,2,2,0
500684020,13,14,,,,5,13,5,6,,,,1,5,5,6,,,,1,5,0
500685010,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,0
500689010,2,9,2,10,10,10,14,2,5,2,6,6,6,6,2,1,2,6,2,2,6,0
500698010,12,2,10,,10,2,12,8,2,6,,6,2,8,4,2,2,,2,2,4,0
500706010,1,2,2,,,1,1,1,2,2,,,1,1,1,2,2,,,1,1,0
500706020,14,10,14,,,14,10,6,6,6,,,6,6,6,2,6,,,6,6,0
500713010,8,8,8,8,8,6,8,4,4,4,4,4,2,4,4,4,4,4,4,2,4,0
500713020,12,11,11,9,3,11,,8,7,7,5,3,7,,4,3,7,1,3,7,,0
500722010,8,4,6,2,,,,4,4,2,2,,,,4,4,2,2,,,,0
500722020,12,4,10,12,12,4,10,8,4,6,8,8,4,6,4,4,2,8,4,4,2,0
500723010,12,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
500740010,,16,16,16,12,,,,8,8,8,8,,,,8,8,8,8,,,0
500740020,,8,16,14,16,,,,4,8,6,8,,,,4,8,6,8,,,0
500742010,14,1,2,16,2,,2,6,1,2,8,2,,2,6,1,2,8,2,,2,0
500747010,8,8,6,8,16,6,6,4,4,2,4,8,2,2,4,4,2,4,8,2,2,0
500753010,1,1,1,3,5,4,2,1,1,1,3,1,4,2,1,1,1,3,1,4,2,0
500754020,16,16,14,6,14,14,13,8,8,6,2,6,6,5,8,8,6,2,6,6,5,0
500756010,16,16,16,1,14,14,2,8,8,8,1,6,6,2,8,8,8,1,6,6,2,0
500756020,16,16,12,11,16,15,12,8,8,8,7,8,7,8,8,8,8,3,8,7,8,0
500757010,16,14,10,2,10,,1,8,6,6,2,6,,1,8,6,6,2,2,,1,0
500757020,15,16,12,1,12,12,15,7,8,8,1,8,8,7,7,8,4,1,4,4,7,0
500763010,14,4,2,9,8,,,6,4,2,5,4,,,6,4,2,1,4,,,0
500763020,16,16,16,16,16,16,,8,8,8,8,8,8,,8,8,8,8,8,8,,0
500771010,12,12,16,,14,,12,8,8,8,,6,,8,8,8,8,,6,,8,0
500772010,16,16,6,12,16,9,14,8,8,2,8,8,5,6,8,8,2,8,8,1,6,0
500772020,16,14,16,16,12,14,14,8,6,8,8,8,6,6,8,6,8,8,4,6,6,0
500778010,12,12,12,10,12,12,12,8,8,8,6,8,8,8,8,8,8,2,8,4,8,0
500778020,16,2,11,10,11,11,12,8,2,7,6,7,7,8,8,2,7,2,7,7,8,0
500801020,16,6,6,16,5,8,6,8,2,2,8,1,4,2,8,2,2,8,1,4,2,0
500810010,16,10,10,10,10,,10,8,6,6,6,6,,6,8,6,6,6,6,,6,0
500815010,12,4,12,15,12,6,,8,4,8,7,8,2,,4,4,4,7,4,2,,0
500818010,2,14,10,10,10,6,4,2,6,6,6,6,2,4,2,6,6,2,2,2,4,0
500818020,10,10,2,2,2,2,2,6,6,2,2,2,2,2,2,2,2,2,2,2,2,0
500825010,,8,,10,15,13,,,4,,6,7,5,,,4,,6,7,5,,0
500832010,14,16,14,14,11,16,14,6,8,6,6,7,8,6,6,8,6,6,7,8,6,0
500836010,1,1,10,1,1,1,,1,1,6,1,1,1,,1,1,2,1,1,1,,0
