hhidpn,F_4_leisure_07,F_4_leisure_09,F_4_leisure_11,F_4_leisure_13,F_4_leisure_15,F_4_leisure_17,F_4_leisure_19,F_3_leisure_07,F_3_leisure_09,F_3_leisure_11,F_3_leisure_13,F_3_leisure_15,F_3_leisure_17,F_3_leisure_19,F_3_leisuremp_07,F_3_leisuremp_09,F_3_leisuremp_11,F_3_leisuremp_13,F_3_leisuremp_15,F_3_leisuremp_17,F_3_leisuremp_19,agegroup
10004040,14,16,3,13,16,8,16,6,8,3,5,8,4,8,6,8,3,5,8,4,8,0
10038010,8,15,8,8,16,4,4,4,7,4,4,8,4,4,4,7,4,4,8,4,4,1
10038040,16,16,16,16,16,16,4,8,8,8,8,8,8,4,8,8,8,8,8,8,4,1
10109030,12,15,11,9,11,3,11,8,7,7,5,7,3,7,4,7,3,1,7,3,3,1
10147010,1,5,11,3,3,5,,1,1,7,3,3,1,,1,1,3,3,3,1,,1
10372010,11,13,11,9,9,9,1,7,5,7,5,5,5,1,7,5,3,1,5,5,1,1
10453020,16,12,12,4,,,3,8,8,8,4,,,3,8,4,4,4,,,3,1
10577010,11,,15,11,16,15,9,7,,7,7,8,7,5,7,,7,7,8,7,5,1
10645031,3,12,4,,,,,3,8,4,,,,,3,8,4,,,,,0
10648010,12,3,4,12,16,11,1,8,3,4,8,8,7,1,4,3,4,4,8,3,1,1
10648020,12,12,11,11,9,12,12,8,8,7,7,5,8,8,4,8,7,7,5,8,8,1
10708030,1,1,9,11,1,1,,1,1,5,7,1,1,,1,1,1,3,1,1,,0
10769040,4,10,12,,12,12,,4,6,8,,8,8,,4,6,8,,8,4,,0
10818010,12,10,14,12,15,11,,8,6,6,8,7,7,,4,6,6,8,7,3,,1
10818040,11,12,12,16,16,12,16,7,8,8,8,8,8,8,7,8,8,8,8,4,8,0
11067030,10,10,16,10,12,8,12,6,6,8,6,8,4,8,2,6,8,6,8,4,4,1
11141010,12,16,4,4,,7,,8,8,4,4,,3,,8,8,4,4,,3,,1
11141020,16,16,16,16,16,16,,8,8,8,8,8,8,,8,8,8,8,8,8,,1
11230010,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1
11256010,2,2,10,2,2,10,9,2,2,6,2,2,6,5,2,2,6,2,2,2,1,1
11333020,16,16,12,12,12,,,8,8,8,8,8,,,8,8,8,8,8,,,1
11378010,6,8,14,,2,,,2,4,6,,2,,,2,4,6,,2,,,1
11378020,12,4,4,8,16,16,8,8,4,4,4,8,8,4,4,4,4,4,8,8,4,1
11590020,9,11,9,11,3,1,1,5,7,5,7,3,1,1,5,7,5,7,3,1,1,1
11611010,14,6,14,16,2,16,14,6,2,6,8,2,8,6,6,2,6,8,2,8,6,1
11620010,16,16,14,10,10,14,14,8,8,6,6,6,6,6,8,8,6,6,2,6,6,1
11678010,10,10,2,10,9,6,9,6,6,2,6,5,2,5,6,2,2,2,1,2,5,1
12033011,5,6,2,5,9,5,2,1,2,2,1,5,1,2,1,2,2,1,1,1,2,1
12135020,16,12,12,12,12,4,4,8,8,8,8,8,4,4,8,8,8,4,4,4,4,1
12135030,8,8,3,4,4,3,,4,4,3,4,4,3,,4,4,3,4,4,3,,1
12161010,9,11,13,5,11,13,11,5,7,5,1,7,5,7,1,3,5,1,7,5,7,1
12162010,10,13,13,15,13,16,9,6,5,5,7,5,8,5,6,5,5,7,5,8,5,1
12196010,,12,12,12,16,16,14,,8,8,8,8,8,6,,8,8,8,8,8,6,1
12196020,11,16,12,11,16,12,11,7,8,8,7,8,8,7,3,8,8,7,8,8,3,1
12218010,9,16,14,10,15,9,9,5,8,6,6,7,5,5,5,8,6,2,7,5,1,1
12218020,9,9,9,9,13,11,9,5,5,5,5,5,7,5,1,1,5,1,5,3,1,1
12235010,14,16,14,10,16,14,13,6,8,6,6,8,6,5,6,8,6,2,8,6,5,1
12235040,16,12,16,14,16,10,14,8,8,8,6,8,6,6,8,8,8,6,8,2,6,1
12280020,10,14,10,14,10,10,,6,6,6,6,6,6,,6,6,2,6,6,2,,1
12280030,6,16,14,13,14,13,,2,8,6,5,6,5,,2,8,6,5,6,5,,1
12285010,12,8,16,8,8,6,,8,4,8,4,4,2,,4,4,8,4,4,2,,1
12318010,3,14,10,10,2,2,1,3,6,6,6,2,2,1,3,6,6,2,2,2,1,1
12319010,,11,8,16,,,,,7,4,8,,,,,3,4,8,,,,1
12458020,12,13,13,9,4,3,12,8,5,5,5,4,3,8,4,5,5,1,4,3,8,1
12474040,16,16,16,16,10,6,14,8,8,8,8,6,2,6,8,8,8,8,6,2,6,0
12481010,16,14,16,14,14,16,,8,6,8,6,6,8,,8,6,8,6,6,8,,1
12481011,10,10,10,10,2,10,9,6,6,6,6,2,6,5,6,6,6,6,2,6,1,0
12494040,13,10,3,16,14,12,16,5,6,3,8,6,8,8,5,6,3,8,6,8,8,0
12512010,16,16,16,16,15,16,16,8,8,8,8,7,8,8,8,8,8,8,7,8,8,1
12516010,3,8,1,5,16,7,14,3,4,1,1,8,3,6,3,4,1,1,8,3,6,1
12516040,14,16,14,6,14,10,14,6,8,6,2,6,6,6,6,8,6,2,6,6,6,1
12529020,12,14,16,16,14,1,,8,6,8,8,6,1,,8,6,8,8,6,1,,1
12543010,2,2,1,6,5,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,1
12573010,,,16,12,12,16,14,,,8,8,8,8,6,,,8,4,4,8,6,1
12586020,10,4,2,10,,,,6,4,2,6,,,,2,4,2,2,,,,1
12588010,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1
12588020,2,2,2,13,6,1,1,2,2,2,5,2,1,1,2,2,2,5,2,1,1,1
12648040,6,2,1,12,1,4,12,2,2,1,8,1,4,8,2,2,1,4,1,4,4,0
12744010,6,6,6,6,6,6,,2,2,2,2,2,2,,2,2,2,2,2,2,,1
12852030,11,1,13,7,11,15,15,7,1,5,3,7,7,7,3,1,5,3,3,7,7,0
12854010,2,2,2,10,2,2,9,2,2,2,6,2,2,5,2,2,2,2,2,2,5,1
12864020,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
12981031,,,,16,16,16,16,,,,8,8,8,8,,,,8,8,8,8,1
13063010,3,3,3,9,10,7,8,3,3,3,5,6,3,4,3,3,3,1,2,3,4,1
13140010,14,12,12,10,10,2,1,6,8,8,6,6,2,1,6,8,8,2,6,2,1,1
13140040,13,4,11,1,9,1,,5,4,7,1,5,1,,5,4,7,1,1,1,,1
13158010,8,7,15,7,7,7,7,4,3,7,3,3,3,3,4,3,7,3,3,3,3,1
13176020,12,12,16,11,16,11,12,8,8,8,7,8,7,8,8,8,8,7,8,3,8,1
13296010,3,1,1,5,1,1,,3,1,1,1,1,1,,3,1,1,1,1,1,,1
13318020,15,16,12,,,,2,7,8,8,,,,2,7,8,8,,,,2,1
13344010,13,3,7,8,2,2,2,5,3,3,4,2,2,2,5,3,3,4,2,2,2,1
13344040,14,12,12,10,12,10,12,6,8,8,6,8,6,8,6,8,4,2,8,6,8,0
13418010,13,9,9,1,1,1,9,5,5,5,1,1,1,5,5,1,1,1,1,1,1,1
13561020,10,12,14,14,13,14,10,6,8,6,6,5,6,6,6,8,6,6,5,6,6,1
13583030,,12,10,16,16,16,14,,8,6,8,8,8,6,,4,2,8,8,8,6,1
13595011,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
13671020,11,3,11,12,8,15,8,7,3,7,8,4,7,4,7,3,3,4,4,7,4,1
13738020,2,14,13,1,15,7,13,2,6,5,1,7,3,5,2,6,5,1,7,3,5,1
13753010,16,7,12,12,12,4,12,8,3,8,8,8,4,8,8,3,8,8,8,4,8,1
13753020,12,16,12,2,9,1,9,8,8,8,2,5,1,5,4,8,4,2,1,1,1,1
13815010,10,9,9,1,12,,,6,5,5,1,8,,,6,1,1,1,4,,,1
13817040,13,14,13,5,14,13,14,5,6,5,1,6,5,6,5,6,5,1,6,5,6,0
13817041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
13857020,14,14,14,14,14,14,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
13902010,12,16,12,11,15,15,16,8,8,8,7,7,7,8,8,8,8,7,7,7,8,1
13902020,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
14028010,14,14,6,16,4,16,16,6,6,2,8,4,8,8,6,6,2,8,4,8,8,1
14028020,16,14,14,16,16,14,14,8,6,6,8,8,6,6,8,6,6,8,8,6,6,1
14069010,12,12,4,12,12,12,9,8,8,4,8,8,8,5,8,4,4,4,8,8,5,1
14069020,12,11,16,12,12,9,9,8,7,8,8,8,5,5,8,7,8,8,8,5,5,1
14080030,2,3,13,2,8,4,2,2,3,5,2,4,4,2,2,3,5,2,4,4,2,1
14085010,14,5,5,14,2,13,13,6,1,1,6,2,5,5,6,1,1,6,2,5,5,1
14115020,,16,6,7,16,1,,,8,2,3,8,1,,,8,2,3,8,1,,1
14115021,,16,16,16,16,16,,,8,8,8,8,8,,,8,8,8,8,8,,1
14149020,8,4,8,12,4,4,12,4,4,4,8,4,4,8,4,4,4,4,4,4,4,1
14149030,15,16,15,10,12,13,11,7,8,7,6,8,5,7,7,8,7,6,8,5,7,0
14234010,8,9,8,16,4,8,16,4,5,4,8,4,4,8,4,1,4,8,4,4,8,1
14234011,13,11,14,13,16,16,16,5,7,6,5,8,8,8,5,7,6,5,8,8,8,0
14252010,13,3,8,14,16,16,14,5,3,4,6,8,8,6,5,3,4,6,8,8,6,1
14275010,1,1,9,1,,,,1,1,5,1,,,,1,1,5,1,,,,1
14332010,14,12,16,16,16,15,4,6,8,8,8,8,7,4,6,8,8,8,8,7,4,1
14397010,12,8,16,8,6,8,8,8,4,8,4,2,4,4,4,4,8,4,2,4,4,1
14397020,1,9,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1
14420020,10,10,10,14,6,,2,6,6,6,6,2,,2,6,2,2,6,2,,2,1
14427040,,,10,10,10,10,14,,,6,6,6,6,6,,,6,6,6,6,6,0
14434020,12,4,12,7,16,1,3,8,4,8,3,8,1,3,4,4,4,3,8,1,3,1
14434030,12,11,16,15,15,8,,8,7,8,7,7,4,,8,7,8,7,7,4,,1
14436021,16,16,9,12,10,12,11,8,8,5,8,6,8,7,8,8,5,8,6,8,3,1
14456010,11,9,10,11,11,11,1,7,5,6,7,7,7,1,7,5,6,7,3,7,1,1
14456020,12,16,8,12,4,10,,8,8,4,8,4,6,,8,8,4,8,4,2,,1
14617020,2,4,12,12,2,,,2,4,8,8,2,,,2,4,4,4,2,,,1
14619020,12,16,15,12,11,11,12,8,8,7,8,7,7,8,8,8,7,8,7,7,8,1
14619021,4,16,16,12,4,8,4,4,8,8,8,4,4,4,4,8,8,4,4,4,4,1
14758020,16,16,15,16,16,16,16,8,8,7,8,8,8,8,8,8,7,8,8,8,8,1
14787010,4,8,8,4,16,8,8,4,4,4,4,8,4,4,4,4,4,4,8,4,4,1
14852020,16,16,16,16,12,16,14,8,8,8,8,8,8,6,8,8,8,8,8,8,6,1
14955010,5,9,10,10,4,16,1,1,5,6,6,4,8,1,1,1,2,2,4,8,1,1
14955040,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
14981010,1,,2,2,,1,,1,,2,2,,1,,1,,2,2,,1,,1
15000010,,,9,9,9,,12,,,5,5,5,,8,,,1,1,1,,4,1
15000011,,2,2,5,2,6,5,,2,2,1,2,2,1,,2,2,1,2,2,1,0
15015020,16,14,16,14,14,14,15,8,6,8,6,6,6,7,8,6,8,6,6,6,7,1
15172010,,16,,10,,14,14,,8,,6,,6,6,,8,,6,,6,6,1
15189010,12,2,16,13,14,14,14,8,2,8,5,6,6,6,8,2,8,5,6,6,6,1
15195010,10,10,10,10,4,2,,6,6,6,6,4,2,,2,2,6,2,4,2,,1
15225010,16,6,6,,7,7,,8,2,2,,3,3,,8,2,2,,3,3,,1
15225020,8,8,2,1,5,7,2,4,4,2,1,1,3,2,4,4,2,1,1,3,2,1
15230010,12,16,15,15,16,15,1,8,8,7,7,8,7,1,4,8,7,7,8,7,1,1
15230020,16,16,16,16,16,12,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
15239010,,12,4,12,,,3,,8,4,8,,,3,,8,4,4,,,3,1
15339010,10,2,10,10,10,10,13,6,2,6,6,6,6,5,2,2,2,6,2,2,5,1
15344010,11,9,11,11,10,13,11,7,5,7,7,6,5,7,7,5,3,7,6,5,7,1
15344020,4,16,6,4,4,4,,4,8,2,4,4,4,,4,8,2,4,4,4,,1
15372010,6,6,6,6,6,6,,2,2,2,2,2,2,,2,2,2,2,2,2,,1
15429010,16,9,15,15,12,11,3,8,5,7,7,8,7,3,8,5,7,7,8,3,3,1
15436020,10,2,2,4,2,6,1,6,2,2,4,2,2,1,6,2,2,4,2,2,1,1
15447010,4,2,2,2,6,2,,4,2,2,2,2,2,,4,2,2,2,2,2,,1
15514020,16,12,12,,8,11,16,8,8,8,,4,7,8,8,4,8,,4,3,8,1
15514030,8,12,16,,8,2,,4,8,8,,4,2,,4,8,8,,4,2,,1
15883010,16,9,14,8,13,9,14,8,5,6,4,5,5,6,8,1,6,4,5,1,6,1
15883011,16,16,12,16,12,8,16,8,8,8,8,8,4,8,8,8,4,8,8,4,8,0
15911010,16,,8,12,16,,,8,,4,8,8,,,8,,4,4,8,,,1
16024010,13,5,15,15,7,5,5,5,1,7,7,3,1,1,5,1,7,7,3,1,1,1
16024020,11,4,3,3,3,11,3,7,4,3,3,3,7,3,7,4,3,3,3,3,3,1
16035010,15,16,12,9,2,5,6,7,8,8,5,2,1,2,7,8,4,1,2,1,2,1
16054020,10,10,10,9,10,13,9,6,6,6,5,6,5,5,2,6,6,5,6,5,5,1
16064010,16,16,16,4,12,16,12,8,8,8,4,8,8,8,8,8,8,4,8,8,8,1
16086010,16,12,16,16,12,12,4,8,8,8,8,8,8,4,8,4,8,8,4,4,4,1
16086020,16,4,16,12,16,12,16,8,4,8,8,8,8,8,8,4,8,4,8,4,8,1
16107010,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1
16221010,13,11,9,12,4,9,11,5,7,5,8,4,5,7,5,3,1,4,4,1,7,1
16233010,12,12,12,12,10,9,10,8,8,8,8,6,5,6,4,4,4,8,6,1,2,1
16233020,14,12,12,16,12,12,5,6,8,8,8,8,8,1,6,8,8,8,8,8,1,1
16381010,1,2,1,2,,,,1,2,1,2,,,,1,2,1,2,,,,1
16400010,12,10,10,10,10,10,1,8,6,6,6,6,6,1,4,2,2,2,2,2,1,1
16407010,14,16,16,,,,,6,8,8,,,,,6,8,8,,,,,1
16407011,,12,16,12,2,,12,,8,8,8,2,,8,,8,8,8,2,,4,0
16454020,11,11,11,9,11,9,9,7,7,7,5,7,5,5,3,7,3,1,3,1,1,1
16478010,16,16,16,5,16,16,2,8,8,8,1,8,8,2,8,8,8,1,8,8,2,1
16484020,6,1,7,10,5,2,,2,1,3,6,1,2,,2,1,3,2,1,2,,1
16484030,2,6,1,6,5,1,,2,2,1,2,1,1,,2,2,1,2,1,1,,1
16491010,12,16,12,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
16500010,4,2,2,6,,,,4,2,2,2,,,,4,2,2,2,,,,1
16528030,3,2,4,4,2,4,2,3,2,4,4,2,4,2,3,2,4,4,2,4,2,1
16528040,10,4,12,10,12,12,11,6,4,8,6,8,8,7,2,4,4,6,8,4,3,0
16566010,16,12,16,16,16,14,,8,8,8,8,8,6,,8,4,8,8,8,6,,1
16566020,6,13,,,1,14,,2,5,,,1,6,,2,5,,,1,6,,1
16602020,9,1,14,1,1,2,,5,1,6,1,1,2,,1,1,6,1,1,2,,1
16631010,5,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1
16631020,9,13,10,2,10,1,9,5,5,6,2,6,1,5,1,5,2,2,6,1,5,1
16672020,9,2,10,9,1,1,1,5,2,6,5,1,1,1,5,2,6,5,1,1,1,1
16698010,16,11,11,9,9,9,9,8,7,7,5,5,5,5,8,7,7,5,5,1,5,1
16700020,10,10,10,2,10,2,2,6,6,6,2,6,2,2,2,2,2,2,6,2,2,1
16705020,6,2,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1
16822010,11,1,10,10,9,4,2,7,1,6,6,5,4,2,7,1,2,2,1,4,2,1
16822020,9,9,10,10,10,11,11,5,5,6,6,6,7,7,1,1,2,2,6,3,3,1
16848010,9,14,11,9,9,9,1,5,6,7,5,5,5,1,5,6,7,5,1,1,1,1
16856010,12,16,4,16,12,12,12,8,8,4,8,8,8,8,4,8,4,8,4,4,8,1
16904010,16,16,16,12,12,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
16904011,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
16954010,5,6,5,2,6,1,8,1,2,1,2,2,1,4,1,2,1,2,2,1,4,1
16956010,4,16,12,9,9,10,9,4,8,8,5,5,6,5,4,8,4,1,1,2,1,1
16989010,9,11,9,10,14,,,5,7,5,6,6,,,1,7,1,2,6,,,1
16994040,10,14,10,10,10,10,13,6,6,6,6,6,6,5,6,6,6,2,2,2,5,1
17027040,12,14,13,9,9,10,10,8,6,5,5,5,6,6,8,6,5,5,5,6,6,0
17028010,16,16,12,10,12,4,14,8,8,8,6,8,4,6,8,8,8,6,8,4,6,1
17041010,14,2,6,4,2,2,2,6,2,2,4,2,2,2,6,2,2,4,2,2,2,1
17136010,4,1,4,4,12,4,,4,1,4,4,8,4,,4,1,4,4,4,4,,1
17279010,6,2,16,12,16,2,2,2,2,8,8,8,2,2,2,2,8,8,8,2,2,1
17279040,14,10,14,9,10,10,2,6,6,6,5,6,6,2,6,2,6,5,6,2,2,0
17328040,13,16,15,12,15,15,15,5,8,7,8,7,7,7,5,8,7,8,7,7,7,0
17366010,10,12,1,2,7,9,9,6,8,1,2,3,5,5,6,8,1,2,3,1,5,1
17383010,3,11,1,5,1,1,,3,7,1,1,1,1,,3,7,1,1,1,1,,1
17383012,,16,9,16,10,14,14,,8,5,8,6,6,6,,8,5,8,6,6,6,0
17661030,9,9,9,11,11,11,11,5,5,5,7,7,7,7,5,5,5,3,7,3,3,0
17715010,6,16,14,14,2,2,2,2,8,6,6,2,2,2,2,8,6,6,2,2,2,1
17715020,16,12,16,16,12,,1,8,8,8,8,8,,1,8,8,8,8,4,,1,1
17862010,12,11,9,9,5,9,9,8,7,5,5,1,5,5,8,3,5,1,1,1,1,1
17862040,11,11,9,9,9,9,9,7,7,5,5,5,5,5,3,3,1,1,5,1,1,1
17922010,14,9,10,10,10,10,10,6,5,6,6,6,6,6,6,5,2,6,2,2,6,1
17924010,16,6,14,16,8,8,8,8,2,6,8,4,4,4,8,2,6,8,4,4,4,1
17924040,,12,16,8,12,15,12,,8,8,4,8,7,8,,8,8,4,8,7,4,0
17952010,16,16,12,12,15,12,7,8,8,8,8,7,8,3,8,8,4,8,7,8,3,1
17952040,14,9,12,10,12,11,1,6,5,8,6,8,7,1,6,5,8,2,4,7,1,1
17978010,12,4,4,4,7,16,,8,4,4,4,3,8,,4,4,4,4,3,8,,1
17978020,16,16,12,16,16,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
18097010,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1
18166010,2,2,,2,,1,,2,2,,2,,1,,2,2,,2,,1,,1
18210010,2,10,1,1,1,9,1,2,6,1,1,1,5,1,2,2,1,1,1,1,1,1
18216020,1,2,1,5,5,14,,1,2,1,1,1,6,,1,2,1,1,1,6,,1
18259010,5,2,1,13,1,1,12,1,2,1,5,1,1,8,1,2,1,5,1,1,4,1
18285020,5,9,13,13,9,1,,1,5,5,5,5,1,,1,1,5,5,5,1,,1
18285030,,12,11,12,11,3,11,,8,7,8,7,3,7,,8,3,8,7,3,7,1
18352010,12,14,12,1,2,11,1,8,6,8,1,2,7,1,8,6,8,1,2,3,1,1
18364011,,,,2,16,12,2,,,,2,8,8,2,,,,2,8,4,2,1
18435040,12,,,16,16,16,4,8,,,8,8,8,4,8,,,8,8,8,4,0
18435042,1,,,16,12,3,,1,,,8,8,3,,1,,,8,4,3,,0
18439040,12,14,12,16,11,11,12,8,6,8,8,7,7,8,4,6,8,8,7,7,8,1
18525030,1,1,2,4,10,10,,1,1,2,4,6,6,,1,1,2,4,2,2,,0
18680020,2,2,6,2,2,2,,2,2,2,2,2,2,,2,2,2,2,2,2,,1
18686020,15,16,12,12,14,13,10,7,8,8,8,6,5,6,7,8,4,8,6,5,6,1
18686030,16,16,15,11,12,10,12,8,8,7,7,8,6,8,8,8,7,7,8,6,8,1
18759010,12,14,16,14,12,14,2,8,6,8,6,8,6,2,8,6,8,6,8,6,2,1
18776010,16,,16,,15,,,8,,8,,7,,,8,,8,,7,,,1
18776040,12,,16,,4,,,8,,8,,4,,,4,,8,,4,,,0
18877010,1,1,1,2,2,2,,1,1,1,2,2,2,,1,1,1,2,2,2,,1
18918040,9,9,3,11,15,15,11,5,5,3,7,7,7,7,1,1,3,3,7,7,3,0
18918041,12,12,12,12,12,11,12,8,8,8,8,8,7,8,4,4,8,8,4,3,4,0
18963010,12,16,11,9,10,9,9,8,8,7,5,6,5,5,8,8,7,5,6,5,1,1
19031020,2,1,1,1,,,,2,1,1,1,,,,2,1,1,1,,,,1
19049010,10,10,2,10,10,10,14,6,6,2,6,6,6,6,2,2,2,6,2,6,6,1
19052010,4,6,4,2,6,12,2,4,2,4,2,2,8,2,4,2,4,2,2,4,2,1
19052040,11,16,16,11,12,12,15,7,8,8,7,8,8,7,7,8,8,3,8,4,7,1
19054020,16,16,16,16,12,,,8,8,8,8,8,,,8,8,8,8,8,,,1
19110010,3,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,1
19110020,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1
19286010,16,16,15,16,13,16,16,8,8,7,8,5,8,8,8,8,7,8,5,8,8,1
19286020,16,16,16,16,16,12,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
19298020,,,11,15,3,11,,,,7,7,3,7,,,,7,7,3,3,,1
19403010,2,2,10,1,2,2,1,2,2,6,1,2,2,1,2,2,2,1,2,2,1,1
19433040,9,12,15,12,12,12,16,5,8,7,8,8,8,8,5,8,7,8,8,8,8,0
19442040,1,1,10,1,9,2,10,1,1,6,1,5,2,6,1,1,6,1,5,2,2,1
19620010,16,14,12,,,,,8,6,8,,,,,8,6,8,,,,,1
19621010,4,8,4,4,8,,4,4,4,4,4,4,,4,4,4,4,4,4,,4,1
19621040,12,16,11,16,12,,12,8,8,7,8,8,,8,4,8,7,8,8,,8,0
19625030,2,10,10,10,10,2,6,2,6,6,6,6,2,2,2,2,2,6,2,2,2,0
19629030,14,16,9,10,7,2,16,6,8,5,6,3,2,8,6,8,1,6,3,2,8,1
19704010,2,1,10,4,,,,2,1,6,4,,,,2,1,2,4,,,,1
19704011,14,9,6,4,,,,6,5,2,4,,,,6,1,2,4,,,,0
19705010,2,2,2,2,,,,2,2,2,2,,,,2,2,2,2,,,,1
19705020,1,,1,1,,,,1,,1,1,,,,1,,1,1,,,,1
19742040,12,15,16,11,15,12,12,8,7,8,7,7,8,8,8,7,8,7,7,8,8,1
19796010,4,12,8,10,4,,,4,8,4,6,4,,,4,8,4,2,4,,,1
19822010,16,12,12,9,16,16,16,8,8,8,5,8,8,8,8,8,8,1,8,8,8,1
19976010,13,10,13,9,9,9,9,5,6,5,5,5,5,5,5,2,5,1,5,1,1,1
20042010,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,1
20079020,9,9,1,1,,1,1,5,5,1,1,,1,1,1,1,1,1,,1,1,1
20162010,16,16,12,12,12,11,12,8,8,8,8,8,7,8,8,8,8,8,4,3,8,1
20162020,16,16,16,16,16,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
20247010,8,14,2,9,4,2,4,4,6,2,5,4,2,4,4,6,2,1,4,2,4,1
20248010,4,4,4,4,8,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
20316010,5,7,1,1,9,1,1,1,3,1,1,5,1,1,1,3,1,1,1,1,1,1
20316020,15,1,9,9,10,2,,7,1,5,5,6,2,,7,1,1,5,6,2,,1
20346020,10,4,14,14,2,10,14,6,4,6,6,2,6,6,2,4,6,6,2,6,6,1
20384010,5,10,1,1,1,9,,1,6,1,1,1,5,,1,2,1,1,1,1,,1
20554010,16,15,1,12,12,16,12,8,7,1,8,8,8,8,8,7,1,4,4,8,4,1
20554020,16,16,11,12,11,11,15,8,8,7,8,7,7,7,8,8,7,8,7,7,7,1
20557011,2,2,2,13,13,4,12,2,2,2,5,5,4,8,2,2,2,5,5,4,8,1
20559020,16,16,16,16,16,16,1,8,8,8,8,8,8,1,8,8,8,8,8,8,1,1
20559030,16,16,16,16,16,16,11,8,8,8,8,8,8,7,8,8,8,8,8,8,3,0
20575010,4,12,12,12,12,12,12,4,8,8,8,8,8,8,4,8,8,8,8,8,8,1
20678010,12,16,12,10,10,1,2,8,8,8,6,6,1,2,8,8,4,2,2,1,2,1
20692010,11,12,15,16,11,1,,7,8,7,8,7,1,,7,4,7,8,7,1,,1
20692020,11,16,16,15,12,12,12,7,8,8,7,8,8,8,3,8,8,7,8,8,8,1
20696020,14,11,9,12,9,12,1,6,7,5,8,5,8,1,6,7,1,4,1,4,1,1
20700010,1,4,1,9,2,,2,1,4,1,5,2,,2,1,4,1,1,2,,2,1
20700011,5,16,8,5,8,,8,1,8,4,1,4,,4,1,8,4,1,4,,4,1
20870010,15,16,15,15,16,16,,7,8,7,7,8,8,,7,8,7,7,8,8,,1
20870020,12,11,12,9,12,9,11,8,7,8,5,8,5,7,4,3,4,1,4,1,3,1
20887010,15,15,15,15,5,7,,7,7,7,7,1,3,,7,7,7,7,1,3,,1
21003010,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1
21003020,14,14,16,14,14,16,14,6,6,8,6,6,8,6,6,6,8,6,6,8,6,1
21015020,14,10,10,9,9,1,1,6,6,6,5,5,1,1,6,2,2,1,5,1,1,1
21019010,11,12,1,11,3,11,11,7,8,1,7,3,7,7,3,8,1,3,3,3,3,1
21019020,16,16,11,11,12,12,12,8,8,7,7,8,8,8,8,8,3,7,8,8,8,1
21040020,3,1,1,1,3,1,1,3,1,1,1,3,1,1,3,1,1,1,3,1,1,1
21040030,2,10,12,6,2,2,10,2,6,8,2,2,2,6,2,2,4,2,2,2,2,0
21058010,16,16,8,16,16,16,,8,8,4,8,8,8,,8,8,4,8,8,8,,1
21058020,16,16,16,16,16,12,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
21099010,6,10,2,10,10,10,10,2,6,2,6,6,6,6,2,2,2,6,2,2,2,1
21137030,16,12,14,14,16,16,16,8,8,6,6,8,8,8,8,4,6,6,8,8,8,0
21141020,16,16,12,16,16,12,,8,8,8,8,8,8,,8,8,8,8,8,8,,1
21163010,16,8,12,8,12,2,1,8,4,8,4,8,2,1,8,4,4,4,8,2,1,1
21163020,6,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1
21166020,16,12,10,11,12,2,2,8,8,6,7,8,2,2,8,4,2,3,4,2,2,1
21195010,16,16,14,14,14,14,14,8,8,6,6,6,6,6,8,8,6,6,6,6,6,1
21210010,12,11,12,9,9,9,,8,7,8,5,5,5,,8,7,8,1,1,5,,1
21227010,8,16,16,16,12,16,12,4,8,8,8,8,8,8,4,8,8,8,8,8,8,1
